Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
BNB;1.08.2017;0,0998668;300413;9986680;1,16;0,43;92,67
BNB;1.09.2017;2,384170055;20990700;238417000;1,15;0,35;93,08
BNB;1.10.2017;1,526530027;9043600;152653000;1,15;0,43;94,55
BNB;1.11.2017;1,261540055;2118920;124910121,6;1,16;0,24;93,05
BNB;1.12.2017;2,070230007;28867200;204981753,2;1,3;0,43;92,12
BNB;1.01.2018;8,414609909;66422800;833164194,5;1,41;0,07;89,13
BNB;1.02.2018;9,515839577;82984200;942201381,8;1,42;0,26;90,61
BNB;1.03.2018;10,50969982;72474200;1040607436;1,51;0,41;89,97
BNB;1.04.2018;11,06620026;87918096;1286574163;1,69;0,13;91,84
BNB;1.05.2018;14,16429996;75433904;1615315046;1,7;0,4;93,99
BNB;1.06.2018;14,2407999;80342200;1624039204;1,82;0,43;94,64
BNB;1.07.2018;14,40410042;38434400;1642662147;1,91;0,24;94,49
BNB;1.08.2018;13,5739;53833700;1296477437;1,91;0,35;95,14
BNB;1.09.2018;11,3794;29776300;1086875205;1,95;0,25;95,13
BNB;1.10.2018;9,94366;25138500;1167816254;2,19;0,08;97,13
BNB;1.11.2018;9,54922;19690100;1249031435;2,2;0,14;97,27
BNB;1.12.2018;5,288723331;12291155,18;691761388,9;2,27;0,85;96,17
BNB;1.01.2019;6,075272603;23891161,94;794641453,8;2,4;0,44;95,58
BNB;1.02.2019;6,562617396;56050946,76;847729319,4;2,4;0,24;96,16
BNB;1.03.2019;11,39321684;117838677;1608442973;2,41;0,31;97,28
BNB;1.04.2019;17,95050207;202977285,5;2534170929;2,42;0,19;97,48
BNB;1.05.2019;21,95362069;180070220,9;3099313164;2,39;0,67;97,75
BNB;1.06.2019;33,0136497;572703757,1;4660718181;2,38;0,81;96,13
BNB;1.07.2019;32,92229696;290190904,2;4647821414;2,4;0,56;98,52
BNB;1.08.2019;28,77327354;287326494,2;4475300389;2,13;0,55;98,92
BNB;1.09.2019;21,56867021;173772204,7;3354720068;2,04;0,65;99,38
BNB;1.10.2019;15,90321115;125165661;2473533188;1,83;0,9;97,35
BNB;1.11.2019;20,02150127;198377285,3;3114078497;1,55;0,72;98,27
BNB;1.12.2019;15,4963364;203268416,7;2410249227;1,55;0,47;96,39
BNB;1.01.2020;13,68908341;172980717,8;2129155037;1,55;0,45;97,39
BNB;1.02.2020;18,21832054;238461925,1;2833617693;1,58;0,33;98,13
BNB;1.03.2020;18,96323236;380913102,2;2949478830;0,65;3,41;99,05
BNB;1.04.2020;12,74160333;332222983,3;1981787101;0,05;6,33;99,02
BNB;1.05.2020;17,56499231;453439051,8;2732001168;0,05;4,98;98,34
BNB;1.06.2020;17,91494102;343444956,7;2786431039;0,08;1,61;97,39
BNB;1.07.2020;15,82946012;159837868,6;2462062195;0,09;0,87;93,35
BNB;1.08.2020;21,53043084;264604007,7;3109135453;0,1;0,36;92,14
BNB;1.09.2020;24,82209627;450200844,3;3584473534;0,09;1,26;93,89
BNB;1.10.2020;27,43197193;630087804,8;3961356701;0,09;0,83;94,04
BNB;1.11.2020;28,46156546;338657898,3;4110036786;0,09;1,21;91,87
BNB;1.12.2020;30,10830281;467818960,3;4347836463;0,09;0,81;89,94
BNB;1.01.2021;37,90501081;459165743,3;5473732252;0,09;1,18;90,58
BNB;1.02.2021;51,60769628;1256933735;7975081034;0,08;1,22;90,88
BNB;1.03.2021;254,6299335;5008256561;39348672761;0,07;1,16;93,23
BNB;1.04.2021;335,2128785;3718677616;51801379680;0,07;1,71;91,28
BNB;1.05.2021;619,3472293;4065705136;95028239640;0,06;1,33;90,03
BNB;1.06.2021;362,7946456;3425775257;55664633494;0,08;0,21;92,44
BNB;1.07.2021;288,2184048;1357794786;44222184819;0,1;0,76;92,17
