Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
LINK;1.10.2017;0,436646998;10005100;152826450;1,15;0,43;94,55
LINK;1.11.2017;0,157610998;3130450;55163850;1,16;0,24;93,05
LINK;1.12.2017;0,177823007;4352980;62238050;1,3;0,43;92,12
LINK;1.01.2018;0,733563006;11506300;256747050;1,41;0,07;89,13
LINK;1.02.2018;0,520346999;6605630;182121450;1,42;0,26;90,61
LINK;1.03.2018;0,663065016;3992240;232072750;1,51;0,41;89,97
LINK;1.04.2018;0,26157999;7962260;91553000;1,69;0,13;91,84
LINK;1.05.2018;0,550400972;11765500;192640350;1,7;0,4;93,99
LINK;1.06.2018;0,349503011;1749230;122326050;1,82;0,43;94,64
LINK;1.07.2018;0,221200004;552528;77420000;1,91;0,24;94,49
LINK;1.08.2018;0,28728;1546730;100548000;1,91;0,35;95,14
LINK;1.09.2018;0,328258;473642;114890300;1,95;0,25;95,13
LINK;1.10.2018;0,325232;772346;113831200;2,19;0,08;97,13
LINK;1.11.2018;0,514022;15507100;179907700;2,2;0,14;97,27
LINK;1.12.2018;0,332692253;2359404,816;116442288,5;2,27;0,85;96,17
LINK;1.01.2019;0,299371001;1522528,561;104779850,3;2,4;0,44;95,58
LINK;1.02.2019;0,419263469;5696881,085;146742214;2,4;0,24;96,16
LINK;1.03.2019;0,431784969;3667814,521;151124739,1;2,41;0,31;97,28
LINK;1.04.2019;0,556137821;11605650,78;194648237,2;2,42;0,19;97,48
LINK;1.05.2019;0,476024757;4255127,087;166608665;2,39;0,67;97,75
LINK;1.06.2019;0,965132202;29166848,37;337796270,8;2,38;0,81;96,13
LINK;1.07.2019;3,591973446;377055673,2;1257190706;2,4;0,56;98,52
LINK;1.08.2019;2,181257477;46293195,32;763440116,9;2,13;0,55;98,92
LINK;1.09.2019;1,775217269;43571942,2;621326044,2;2,04;0,65;99,38
LINK;1.10.2019;1,839307893;91602848,94;643757762,7;1,83;0,9;97,35
LINK;1.11.2019;2,720022352;118225225,4;952007823,1;1,55;0,72;98,27
LINK;1.12.2019;2,167131554;136819693,2;758496044;1,55;0,47;96,39
LINK;1.01.2020;1,806640244;69723036,63;632324085,5;1,55;0,45;97,39
LINK;1.02.2020;2,8389532;121185567;993633620;1,58;0,33;98,13
LINK;1.03.2020;3,879532592;423505999,4;1357836407;0,65;3,41;99,05
LINK;1.04.2020;2,278259698;289006167,9;797390894,2;0,05;6,33;99,02
LINK;1.05.2020;3,783184499;387173587,6;1324114575;0,05;4,98;98,34
LINK;1.06.2020;4,380642318;491355311,7;1533224811;0,08;1,61;97,39
LINK;1.07.2020;4,698255943;320994716;1644389580;0,09;0,87;93,35
LINK;1.08.2020;8,304458851;757545560,1;2906560598;0,1;0,36;92,14
LINK;1.09.2020;16,12149245;1602445973;5642522358;0,09;1,26;93,89
LINK;1.10.2020;9,64990503;1426296389;3377466762;0,09;0,83;94,04
LINK;1.11.2020;11,53662956;1319631443;4505164094;0,09;1,21;91,87
LINK;1.12.2020;13,38953504;1850007077;5282299530;0,09;0,81;89,94
LINK;1.01.2021;11,8725549;1376173841;4737262864;0,09;1,18;90,58
LINK;1.02.2021;22,83964054;2422414493;9227433045;0,08;1,22;90,88
LINK;1.03.2021;27,6070607;2279573087;11319158711;0,07;1,16;93,23
LINK;1.04.2021;30,23322029;1814724171;12577308561;0,07;1,71;91,28
LINK;1.05.2021;41,11626023;1635368353;17228105963;0,06;1,33;90,03
LINK;1.06.2021;30,69901269;1987644783;13185519244;0,08;0,21;92,44
LINK;1.07.2021;18,27329273;779093195,1;7958193564;0,1;0,76;92,17
