Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
DOGE;1.01.2014;0,000439698;307917;8335005;0,07;0,63;81,31
DOGE;1.02.2014;0,00145702;1084150;59980168,91;0,07;0,59;79,69
DOGE;1.03.2014;0,00105674;1227770;58696774,73;0,08;0,32;80,1
DOGE;1.04.2014;0,000537045;845770;35541929,43;0,09;0,4;79,47
DOGE;1.05.2014;0,000504464;542606;38085603,81;0,09;0,57;80,37
DOGE;1.06.2014;0,000402655;1715410;32411546,64;0,1;0,49;79,78
DOGE;1.07.2014;0,000258783;448434;22067709,94;0,09;0,48;81,46
DOGE;1.08.2014;0,000210898;162768;18721313,97;0,09;0,21;82,75
DOGE;1.09.2014;0,000130578;132860;11901169,62;0,09;0,36;85,94
DOGE;1.10.2014;0,000371123;1031360;34745106,34;0,09;0,64;86,92
DOGE;1.11.2014;0,000227999;18844600;21654256,62;0,09;0,35;88,36
DOGE;1.12.2014;0,000241539;301617;23250666,57;0,12;0,72;90,27
DOGE;1.01.2015;0,000182858;306913;17778457,47;0,11;0,74;94,8
DOGE;1.02.2015;0,000143878;199772;14084166,93;0,11;0,99;95,32
DOGE;1.03.2015;0,00014576;91861,60156;14350882,41;0,11;-0,02;98,36
DOGE;1.04.2015;0,000127999;74920,89844;12653511,84;0,12;0,28;94,6
DOGE;1.05.2015;9,76E-05;110577;9689694,026;0,12;0,23;96,91
DOGE;1.06.2015;0,000141488;349100;14097643,41;0,13;0,34;95,49
DOGE;1.07.2015;0,000193297;385337;19332958,27;0,13;0,36;97,34
DOGE;1.08.2015;0,000175036;157221;17575873,36;0,14;0,37;95,82
DOGE;1.09.2015;0,00012711;68704,39844;12814597,06;0,14;0,51;96,35
DOGE;1.10.2015;0,0001224;28259,80078;12387858,07;0,12;0,42;96,95
DOGE;1.11.2015;0,000141312;65837,29688;14362050,48;0,12;0,75;100,17
DOGE;1.12.2015;0,000127257;132870;12986531,1;0,24;0,58;98,63
DOGE;1.01.2016;0,000154392;105224;15821193,32;0,34;1,11;99,61
DOGE;1.02.2016;0,000270234;629834;27810885,08;0,38;0,58;98,21
DOGE;1.03.2016;0,000248716;104087;25694821,58;0,36;0,4;94,59
