Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
MIOTA;1.07.2017;0,38962999;2334640;1082988384;1,15;0,42;92,86
MIOTA;1.08.2017;0,290219992;5169910;806675278,7;1,16;0,43;92,67
MIOTA;1.09.2017;0,807778001;28047000;2245243413;1,15;0,35;93,08
MIOTA;1.10.2017;0,610183001;8576220;1696022127;1,15;0,43;94,55
MIOTA;1.11.2017;0,363920003;11944600;1011526661;1,16;0,24;93,05
MIOTA;1.12.2017;1,445760012;141192000;4018533702;1,3;0,43;92,12
MIOTA;1.01.2018;3,974400043;256630000;11046965157;1,41;0,07;89,13
MIOTA;1.02.2018;1,906839967;108876000;5300119525;1,42;0,26;90,61
MIOTA;1.03.2018;1,969630003;41523600;5474646231;1,51;0,41;89,97
MIOTA;1.04.2018;0,994798005;35953200;2765071166;1,69;0,13;91,84
MIOTA;1.05.2018;1,984599948;66547100;5516255800;1,7;0,4;93,99
MIOTA;1.06.2018;1,926570058;145124000;5354959657;1,82;0,43;94,64
MIOTA;1.07.2018;1,069749951;56746600;2973402520;1,91;0,24;94,49
MIOTA;1.08.2018;0,923707;32731300;2567471579;1,91;0,35;95,14
MIOTA;1.09.2018;0,73947;51918100;2055379258;1,95;0,25;95,13
MIOTA;1.10.2018;0,561683;21601100;1561214908;2,19;0,08;97,13
MIOTA;1.11.2018;0,472912;6818790;1314473225;2,2;0,14;97,27
MIOTA;1.12.2018;0,301171243;6929627,163;837114590,9;2,27;0,85;96,17
MIOTA;1.01.2019;0,369184185;7921094,856;1026158621;2,4;0,44;95,58
MIOTA;1.02.2019;0,25906787;8301912,982;720086989,7;2,4;0,24;96,16
MIOTA;1.03.2019;0,298102305;9407358,459;828584384,3;2,41;0,31;97,28
MIOTA;1.04.2019;0,322733996;19088504,32;897048915,6;2,42;0,19;97,48
MIOTA;1.05.2019;0,300112231;21792423,52;834171033,7;2,39;0,67;97,75
MIOTA;1.06.2019;0,483249949;46733027,24;1343207867;2,38;0,81;96,13
MIOTA;1.07.2019;0,40553588;20419884,72;1127199259;2,4;0,56;98,52
MIOTA;1.08.2019;0,288899538;11870776,81;803005014,4;2,13;0,55;98,92
MIOTA;1.09.2019;0,241587286;5111188,021;671499176,4;2,04;0,65;99,38
MIOTA;1.10.2019;0,270919734;5869939,587;753029605,5;1,83;0,9;97,35
MIOTA;1.11.2019;0,274221862;6016958,885;762207969,4;1,55;0,72;98,27
MIOTA;1.12.2019;0,206595233;5360255,891;574237706,7;1,55;0,47;96,39
MIOTA;1.01.2020;0,161058149;3981428,982;447666001,8;1,55;0,45;97,39
MIOTA;1.02.2020;0,305091509;11189601,26;848011089,3;1,58;0,33;98,13
MIOTA;1.03.2020;0,211438403;5944197,054;587699443,7;0,65;3,41;99,05
MIOTA;1.04.2020;0,150975864;9621407,626;419641986,1;0,05;6,33;99,02
MIOTA;1.05.2020;0,183193111;11509778,56;509190798,7;0,05;4,98;98,34
MIOTA;1.06.2020;0,235946916;24306846,08;655821599,1;0,08;1,61;97,39
MIOTA;1.07.2020;0,230242538;14935841,18;639966106,6;0,09;0,87;93,35
MIOTA;1.08.2020;0,312790495;25058192,36;869410652,8;0,1;0,36;92,14
MIOTA;1.09.2020;0,36595555;40442437,37;1017184534;0,09;1,26;93,89
MIOTA;1.10.2020;0,27233097;14286406,35;756952167,5;0,09;0,83;94,04
MIOTA;1.11.2020;0,25124781;8132346,345;698350898,3;0,09;1,21;91,87
MIOTA;1.12.2020;0,32695498;27933097,69;908781260,3;0,09;0,81;89,94
MIOTA;1.01.2021;0,2913477;15791601,46;809809747,7;0,09;1,18;90,58
MIOTA;1.02.2021;0,41369056;46488076,58;1149865434;0,08;1,22;90,88
MIOTA;1.03.2021;1,21111032;108541996,2;3366317798;0,07;1,16;93,23
MIOTA;1.04.2021;1,64016881;164348597,4;4558898863;0,07;1,71;91,28
MIOTA;1.05.2021;2,10979698;122756701,6;5864244600;0,06;1,33;90,03
MIOTA;1.06.2021;1,12229265;72038952,92;3119446419;0,08;0,21;92,44
MIOTA;1.07.2021;0,80313785;32469849,99;2232345963;0,1;0,76;92,17
