Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
LTC;1.05.2013;3,801009893;0;65604596,38;0,11;0,32;83,26
LTC;1.06.2013;2,826499939;0;51354548,48;0,09;0,54;83,14
LTC;1.07.2013;2,948790073;0;56208962,14;0,09;0,37;81,45
LTC;1.08.2013;2,909919977;0;58053718,78;0,08;0,54;82,09
LTC;1.09.2013;2,584189892;0;53930572,31;0,08;0,56;80,22
LTC;1.10.2013;2,422859907;0;52632252,97;0,09;1,15;80,19
LTC;1.11.2013;2,453540087;0;55490590,46;0,08;0,08;80,68
LTC;1.12.2013;34,73559952;0;817326653,3;0,09;0,59;80,04
LTC;1.01.2014;24,61540031;8092540;602482641,2;0,07;0,63;81,31
LTC;1.02.2014;22,47130013;6694190;569695858,2;0,07;0,59;79,69
LTC;1.03.2014;13,6480999;3267220;356989311,9;0,08;0,32;80,1
LTC;1.04.2014;13,13230038;7346120;355878159,8;0,09;0,4;79,47
LTC;1.05.2014;11,09819984;4444330;310545992,4;0,09;0,57;80,37
LTC;1.06.2014;11,13869953;7308220;321886754,1;0,1;0,49;79,78
LTC;1.07.2014;7,79418993;6485840;232339379,1;0,09;0,48;81,46
LTC;1.08.2014;7,701849937;1849420;236842317,3;0,09;0,21;82,75
LTC;1.09.2014;4,713039875;2185090;149179975,5;0,09;0,36;85,94
LTC;1.10.2014;4,42855978;1172180;144081987,2;0,09;0,64;86,92
LTC;1.11.2014;3,570590019;2476220;119360198,2;0,09;0,35;88,36
LTC;1.12.2014;3,577140093;1275120;122774756,8;0,12;0,72;90,27
LTC;1.01.2015;2,69904995;770693;95086868,2;0,11;0,74;94,8
LTC;1.02.2015;1,803519964;2661610;65106989,48;0,11;0,99;95,32
LTC;1.03.2015;1,891569972;1697220;69797522,36;0,11;-0,02;98,36
LTC;1.04.2015;1,664630055;1245880;62908788,48;0,12;0,28;94,6
LTC;1.05.2015;1,406589985;1169670;54371601,76;0,12;0,23;96,91
