Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
XMR;1.06.2014;1,737450004;130602;1934458,587;0,1;0,49;79,78
XMR;1.07.2014;2,34552002;98540,20313;4239457,034;0,09;0,48;81,46
XMR;1.08.2014;2,667870045;145177;6670823,169;0,09;0,21;82,75
XMR;1.09.2014;2,038680077;268279;6443261,228;0,09;0,36;85,94
XMR;1.10.2014;1,199579954;65139,89844;4526495,834;0,09;0,64;86,92
XMR;1.11.2014;0,585832;33871,69922;2565702,14;0,09;0,35;88,36
XMR;1.12.2014;0,4745;78718,10156;2344414,552;0,12;0,72;90,27
XMR;1.01.2015;0,465759993;24999,80078;2561246,861;0,11;0,74;94,8
XMR;1.02.2015;0,299953997;17050,5;1809689,397;0,11;0,99;95,32
XMR;1.03.2015;0,426028013;23254,59961;2768487,34;0,11;-0,02;98,36
XMR;1.04.2015;1,006850004;119203;7042515,471;0,12;0,28;94,6
XMR;1.05.2015;0,499998003;13569,5;3712412,644;0,12;0,23;96,91
XMR;1.06.2015;0,451618999;21924;3571320,145;0,13;0,34;95,49
XMR;1.07.2015;0,498847991;16985,90039;4155696,543;0,13;0,36;97,34
XMR;1.08.2015;0,588741004;47982,10156;5150910,975;0,14;0,37;95,82
XMR;1.09.2015;0,458516985;13803,7998;4195018,554;0,14;0,51;96,35
XMR;1.10.2015;0,404695988;27171,59961;3852804,063;0,12;0,42;96,95
XMR;1.11.2015;0,423505008;27613,5;4187534,096;0,12;0,75;100,17
XMR;1.12.2015;0,376028001;20745,69922;3845797,461;0,24;0,58;98,63
XMR;1.01.2016;0,497866988;88913,60156;5259519,392;0,34;1,11;99,61
XMR;1.02.2016;0,497961998;42354;5421156,181;0,38;0,58;98,21
XMR;1.03.2016;0,847995996;204620;9477377,334;0,36;0,4;94,59
XMR;1.04.2016;1,461429954;353597;16772175,8;0,37;0,63;93,08
XMR;1.05.2016;0,914292991;64193,19922;10748806,93;0,37;0,53;95,89
XMR;1.06.2016;0,914870977;105338;11009805,02;0,38;0,47;96,14
XMR;1.07.2016;1,659170032;148728;20397110,7;0,39;0,42;95,53
XMR;1.08.2016;1,696269989;170108;21289193,77;0,4;0,65;96,02
XMR;1.09.2016;8,003959656;12152000;102420068,4;0,4;0,46;95,46
XMR;1.10.2016;7,358679771;8319930;95841683,17;0,4;0,56;98,44
XMR;1.11.2016;4,713089943;3841800;62445241,01;0,41;0,56;101,5
XMR;1.12.2016;8,575559616;5605070;115418047;0,54;0,34;102,21
XMR;1.01.2017;13,97280025;3923550;190983757,5;0,65;0,56;99,51
XMR;1.02.2017;13,26780033;2715170;183950328,4;0,66;0,5;101,12
XMR;1.03.2017;12,33119965;6449830;173097740,9;0,79;0,46;100,35
XMR;1.04.2017;21,49500084;7622780;305662894,7;0,9;0,42;99,05
XMR;1.05.2017;22,76779938;14214000;327623069,6;0,91;0,39;96,92
XMR;1.06.2017;43,70360184;12849800;636286276,9;1,04;0,16;95,63
XMR;1.07.2017;40,95589828;10673500;602665215,9;1,15;0,42;92,86
XMR;1.08.2017;44,14569855;17363300;656506653,3;1,16;0,43;92,67
XMR;1.09.2017;141,1970062;163960992;2121127781;1,15;0,35;93,08
XMR;1.10.2017;93,22200012;25936500;1413301392;1,15;0,43;94,55
XMR;1.11.2017;85,71700287;36899300;1311246353;1,16;0,24;93,05
XMR;1.12.2017;190,9380035;70430496;2945128778;1,3;0,43;92,12
XMR;1.01.2018;358,9899902;110244000;5581120935;1,41;0,07;89,13
XMR;1.02.2018;240,9649963;73082704;3776625416;1,42;0,26;90,61
XMR;1.03.2018;314,0350037;62044300;4954702676;1,51;0,41;89,97
XMR;1.04.2018;175,5079956;31024200;2788621022;1,69;0,13;91,84
XMR;1.05.2018;240,2599945;71420800;3841343353;1,7;0,4;93,99
XMR;1.06.2018;157,5370026;29047300;2534811386;1,82;0,43;94,64
XMR;1.07.2018;129,772995;32338800;2100427300;1,91;0,24;94,49
XMR;1.08.2018;128,154;31815200;2084643395;1,91;0,35;95,14
XMR;1.09.2018;120,973;52810000;1980323981;1,95;0,25;95,13
XMR;1.10.2018;114,521;20659400;1884299929;2,19;0,08;97,13
XMR;1.11.2018;103,881;10160300;1717819570;2,2;0,14;97,27
XMR;1.12.2018;59,64754744;10636037,47;990924480,7;2,27;0,85;96,17
XMR;1.01.2019;48,36749719;10174528,27;807214006,7;2,4;0,44;95,58
XMR;1.02.2019;43,7228668;36949055,59;732932070,8;2,4;0,24;96,16
XMR;1.03.2019;49,56217132;67173811,92;833981002,9;2,41;0,31;97,28
XMR;1.04.2019;59,97316017;118227704,2;1013053254;2,42;0,19;97,48
XMR;1.05.2019;64,95965735;38993596,39;1101352849;2,39;0,67;97,75
XMR;1.06.2019;92,96917911;101580438,7;1582034055;2,38;0,81;96,13
XMR;1.07.2019;88,42322347;132758316,3;1509447308;2,4;0,56;98,52
XMR;1.08.2019;81,96609111;90181330,66;1404198476;2,13;0,55;98,92
XMR;1.09.2019;71,77680171;50287115,1;1233580704;2,04;0,65;99,38
XMR;1.10.2019;55,8428869;72773126,84;962569246,2;1,83;0,9;97,35
XMR;1.11.2019;60,87179313;195288212,5;1052317484;1,55;0,72;98,27
XMR;1.12.2019;53,58626176;32630308,78;928901682,8;1,55;0,47;96,39
XMR;1.01.2020;45,75354162;75903148,65;795254585,5;1,55;0,45;97,39
XMR;1.02.2020;73,33706116;76400844,2;1277954139;1,58;0,33;98,13
XMR;1.03.2020;64,73641639;101124199;1130665392;0,65;3,41;99,05
XMR;1.04.2020;48,51173339;118501640,3;849270096,6;0,05;6,33;99,02
XMR;1.05.2020;63,76868686;105952990;1118780764;0,05;4,98;98,34
XMR;1.06.2020;67,639402;110295490,3;1189235135;0,08;1,61;97,39
XMR;1.07.2020;64,60592643;64478705,06;1138155748;0,09;0,87;93,35
XMR;1.08.2020;89,25676215;111518764;1575509153;0,1;0,36;92,14
XMR;1.09.2020;97,13584647;128552757,2;1717789960;0,09;1,26;93,89
XMR;1.10.2020;102,6581355;854570165,2;1818548463;0,09;0,83;94,04
XMR;1.11.2020;126,5553012;945308160,7;2245789060;0,09;1,21;91,87
XMR;1.12.2020;125,9288291;867323872,7;2238232239;0,09;0,81;89,94
XMR;1.01.2021;136,0458617;1946205729;2421861836;0,09;1,18;90,58
XMR;1.02.2021;143,7350043;988331547,5;2562614383;0,08;1,22;90,88
XMR;1.03.2021;230,225467;646909762,7;4110001598;0,07;1,16;93,23
XMR;1.04.2021;252,4958215;614730542,2;4513829224;0,07;1,71;91,28
XMR;1.05.2021;426,2791091;549094538,3;7630309058;0,06;1,33;90,03
XMR;1.06.2021;265,7748358;303059899;4763372572;0,08;0,21;92,44
XMR;1.07.2021;206,5638743;199614267,4;3706528205;0,1;0,76;92,17
