Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
XLM;1.09.2014;0,00200988;27974,90039;2096569,24;0,09;0,36;85,94
XLM;1.10.2014;0,00288037;70180;3734796,836;0,09;0,64;86,92
XLM;1.11.2014;0,00154787;494272;2304271,309;0,09;0,35;88,36
XLM;1.12.2014;0,00254085;73122,20313;9003314,397;0,12;0,72;90,27
XLM;1.01.2015;0,00549345;20514,30078;19541316,13;0,11;0,74;94,8
XLM;1.02.2015;0,00414216;70974,5;14874634,29;0,11;0,99;95,32
XLM;1.03.2015;0,00278141;17782,09961;10061647,35;0,11;-0,02;98,36
XLM;1.04.2015;0,00280327;10522,59961;12046259,94;0,12;0,28;94,6
XLM;1.05.2015;0,00264657;5404,700195;12765342,89;0,12;0,23;96,91
XLM;1.06.2015;0,00307329;20680,59961;14866592,46;0,13;0,34;95,49
XLM;1.07.2015;0,00345818;13853,09961;16728449,87;0,13;0,36;97,34
XLM;1.08.2015;0,00264164;11103,2998;12778554,7;0,14;0,37;95,82
XLM;1.09.2015;0,00243518;4817,810059;11779834,06;0,14;0,51;96,35
XLM;1.10.2015;0,0022244;12893,7998;10760216,03;0,12;0,42;96,95
XLM;1.11.2015;0,00212819;10484,2002;10294813,96;0,12;0,75;100,17
XLM;1.12.2015;0,0017386;4810,209961;8410228,195;0,24;0,58;98,63
XLM;1.01.2016;0,00174819;4947,470215;8456618,445;0,34;1,11;99,61
XLM;1.02.2016;0,0017923;14159;8669994,245;0,38;0,58;98,21
XLM;1.03.2016;0,00190929;15993,5;9235916,594;0,36;0,4;94,59
XLM;1.04.2016;0,00204673;20021,5;11227705;0,37;0,63;93,08
XLM;1.05.2016;0,00188253;6884,399902;10326956,41;0,37;0,53;95,89
XLM;1.06.2016;0,0015253;24847,69922;8367307,091;0,38;0,47;96,14
XLM;1.07.2016;0,00203464;77518,89844;11161383,14;0,39;0,42;95,53
XLM;1.08.2016;0,00187436;44883,30078;10595951,5;0,4;0,65;96,02
XLM;1.09.2016;0,00188677;25271,90039;10666106,52;0,4;0,46;95,46
XLM;1.10.2016;0,00276312;187694;16834057,47;0,4;0,56;98,44
XLM;1.11.2016;0,00197643;39127,69922;13541221,57;0,41;0,56;101,5
XLM;1.12.2016;0,00161886;60747,19922;11091382,93;0,54;0,34;102,21
XLM;1.01.2017;0,00248113;39325,39844;17173226,12;0,65;0,56;99,51
XLM;1.02.2017;0,00235669;60079;16311910,41;0,66;0,5;101,12
XLM;1.03.2017;0,00172369;263991;12043931,42;0,79;0,46;100,35
XLM;1.04.2017;0,00263087;1708130;18550893,43;0,9;0,42;99,05
XLM;1.05.2017;0,00513847;6020040;47876489,31;0,91;0,39;96,92
