Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
TRX;1.10.2017;0,0018477;72807,10156;18600626,64;1,15;0,43;94,55
TRX;1.11.2017;0,00251046;1398750;164505906,1;1,16;0,24;93,05
TRX;1.12.2017;0,00211809;6294070;139260589;1,3;0,43;92,12
TRX;1.01.2018;0,051694602;516798016;3398826511;1,41;0,07;89,13
TRX;1.02.2018;0,046227399;288656000;3039367993;1,42;0,26;90,61
TRX;1.03.2018;0,0488468;318231008;3211588808;1,51;0,41;89,97
TRX;1.04.2018;0,032151598;219372992;2113909585;1,69;0,13;91,84
TRX;1.05.2018;0,093360402;1043369984;6138270002;1,7;0,4;93,99
TRX;1.06.2018;0,058707099;268287008;3859880965;1,82;0,43;94,64
TRX;1.07.2018;0,0378851;112292000;2490873784;1,91;0,24;94,49
TRX;1.08.2018;0,0326433;140270000;2146235333;1,91;0,35;95,14
TRX;1.09.2018;0,0265897;109153000;1748222564;1,95;0,25;95,13
TRX;1.10.2018;0,0220518;110444000;1449864208;2,19;0,08;97,13
TRX;1.11.2018;0,0225749;59714000;1484257046;2,2;0,14;97,27
TRX;1.12.2018;0,015183755;87112117,68;1004282933;2,27;0,85;96,17
TRX;1.01.2019;0,019561268;72033015,89;1303479300;2,4;0,44;95,58
TRX;1.02.2019;0,026271205;266911186,1;1751407526;2,4;0,24;96,16
TRX;1.03.2019;0,023725949;128326436,8;1582095415;2,41;0,31;97,28
TRX;1.04.2019;0,024340322;331600219,9;1623063140;2,42;0,19;97,48
TRX;1.05.2019;0,023776499;649588397,9;1585466195;2,39;0,67;97,75
TRX;1.06.2019;0,037408328;1599163697;2494464841;2,38;0,81;96,13
TRX;1.07.2019;0,032601564;912290261,8;2173939871;2,4;0,56;98,52
TRX;1.08.2019;0,022253227;431296973,8;1483891310;2,13;0,55;98,92
TRX;1.09.2019;0,015625079;424372233,8;1041912671;2,04;0,65;99,38
TRX;1.10.2019;0,014072417;615910233,2;938377942,5;1,83;0,9;97,35
TRX;1.11.2019;0,019675717;868159776,8;1312017558;1,55;0,72;98,27
TRX;1.12.2019;0,015950339;1221749577;1063601685;1,55;0,47;96,39
TRX;1.01.2020;0,013249639;977215884,8;883513371,3;1,55;0,45;97,39
TRX;1.02.2020;0,019064219;1346616386;1271241659;1,58;0,33;98,13
TRX;1.03.2020;0,016499418;1530951215;1100215361;0,65;3,41;99,05
TRX;1.04.2020;0,011575421;810514942;771873065,4;0,05;6,33;99,02
TRX;1.05.2020;0,01589265;1620462039;1059754823;0,05;4,98;98,34
TRX;1.06.2020;0,017007428;1709386487;1134090518;0,08;1,61;97,39
TRX;1.07.2020;0,016871119;691472812,1;1125001179;0,09;0,87;93,35
TRX;1.08.2020;0,020395587;625808105,9;1461540771;0,1;0,36;92,14
TRX;1.09.2020;0,034552954;2177409507;2476052862;0,09;1,26;93,89
TRX;1.10.2020;0,02559581;1221295537;1834187059;0,09;0,83;94,04
TRX;1.11.2020;0,02572745;740672528,2;1843620256;0,09;1,21;91,87
TRX;1.12.2020;0,03027735;1616257102;2169664591;0,09;0,81;89,94
TRX;1.01.2021;0,02693957;740550356,4;1930480208;0,09;1,18;90,58
TRX;1.02.2021;0,03292715;1907823432;2359548094;0,08;1,22;90,88
TRX;1.03.2021;0,04781769;1633969210;3426599301;0,07;1,16;93,23
TRX;1.04.2021;0,08612;6635312741;6171329845;0,07;1,71;91,28
TRX;1.05.2021;0,13110811;1935148532;9395162185;0,06;1,33;90,03
TRX;1.06.2021;0,07613585;1680627011;5455869263;0,08;0,21;92,44
TRX;1.07.2021;0,06489425;1006008727;4650299906;0,1;0,76;92,17
