Date;FEDFUNDS;M2SL;Price;M2SLChange
1.05.2013;0,11;10634,2;83,26;0,32
1.06.2013;0,09;10691,3;83,14;0,54
1.07.2013;0,09;10730,5;81,45;0,37
1.08.2013;0,08;10788,5;82,09;0,54
1.09.2013;0,08;10848,9;80,22;0,56
1.10.2013;0,09;10973,2;80,19;1,15
1.11.2013;0,08;10981,9;80,68;0,08
1.12.2013;0,09;11046,9;80,04;0,59
1.01.2014;0,07;11116,6;81,31;0,63
1.02.2014;0,07;11182,3;79,69;0,59
1.03.2014;0,08;11218,2;80,1;0,32
1.04.2014;0,09;11263,1;79,47;0,4
1.05.2014;0,09;11327,6;80,37;0,57
1.06.2014;0,1;11382,8;79,78;0,49
1.07.2014;0,09;11437,5;81,46;0,48
1.08.2014;0,09;11461,6;82,75;0,21
1.09.2014;0,09;11502,8;85,94;0,36
1.10.2014;0,09;11576,6;86,92;0,64
1.11.2014;0,09;11617,3;88,36;0,35
1.12.2014;0,12;11701;90,27;0,72
1.01.2015;0,11;11787,8;94,8;0,74
1.02.2015;0,11;11904,7;95,32;0,99
1.03.2015;0,11;11902,8;98,36;-0,02
1.04.2015;0,12;11936,7;94,6;0,28
1.05.2015;0,12;11964,2;96,91;0,23
1.06.2015;0,13;12004,6;95,49;0,34
1.07.2015;0,13;12048,3;97,34;0,36
1.08.2015;0,14;12093,1;95,82;0,37
1.09.2015;0,14;12154,3;96,35;0,51
1.10.2015;0,12;12205,6;96,95;0,42
1.11.2015;0,12;12296,9;100,17;0,75
1.12.2015;0,24;12368,2;98,63;0,58
1.01.2016;0,34;12505,5;99,61;1,11
1.02.2016;0,38;12577,7;98,21;0,58
1.03.2016;0,36;12628,6;94,59;0,4
1.04.2016;0,37;12707,6;93,08;0,63
1.05.2016;0,37;12774,6;95,89;0,53
1.06.2016;0,38;12835,1;96,14;0,47
1.07.2016;0,39;12889,3;95,53;0,42
1.08.2016;0,4;12973,6;96,02;0,65
1.09.2016;0,4;13033,8;95,46;0,46
1.10.2016;0,4;13107,1;98,44;0,56
1.11.2016;0,41;13180,6;101,5;0,56
1.12.2016;0,54;13225,8;102,21;0,34
1.01.2017;0,65;13300,3;99,51;0,56
1.02.2017;0,66;13367;101,12;0,5
1.03.2017;0,79;13428,4;100,35;0,46
1.04.2017;0,9;13484,4;99,05;0,42
1.05.2017;0,91;13536,4;96,92;0,39
1.06.2017;1,04;13558,1;95,63;0,16
1.07.2017;1,15;13615,1;92,86;0,42
1.08.2017;1,16;13674,3;92,67;0,43
1.09.2017;1,15;13722,7;93,08;0,35
1.10.2017;1,15;13782;94,55;0,43
1.11.2017;1,16;13814,6;93,05;0,24
1.12.2017;1,3;13873,5;92,12;0,43
1.01.2018;1,41;13882,9;89,13;0,07
1.02.2018;1,42;13919;90,61;0,26
1.03.2018;1,51;13975,8;89,97;0,41
1.04.2018;1,69;13993,7;91,84;0,13
1.05.2018;1,7;14049,4;93,99;0,4
1.06.2018;1,82;14109,7;94,64;0,43
1.07.2018;1,91;14143,9;94,49;0,24
1.08.2018;1,91;14193,6;95,14;0,35
1.09.2018;1,95;14229,1;95,13;0,25
1.10.2018;2,19;14241,1;97,13;0,08
1.11.2018;2,2;14260,5;97,27;0,14
1.12.2018;2,27;14382,3;96,17;0,85
1.01.2019;2,4;14445,7;95,58;0,44
1.02.2019;2,4;14480,8;96,16;0,24
1.03.2019;2,41;14525,9;97,28;0,31
1.04.2019;2,42;14554,2;97,48;0,19
1.05.2019;2,39;14652;97,75;0,67
1.06.2019;2,38;14771;96,13;0,81
1.07.2019;2,4;14853,1;98,52;0,56
1.08.2019;2,13;14934,3;98,92;0,55
1.09.2019;2,04;15031;99,38;0,65
1.10.2019;1,83;15166,9;97,35;0,9
1.11.2019;1,55;15276,4;98,27;0,72
1.12.2019;1,55;15347,6;96,39;0,47
1.01.2020;1,55;15416,3;97,39;0,45
1.02.2020;1,58;15466,6;98,13;0,33
1.03.2020;0,65;15993,4;99,05;3,41
1.04.2020;0,05;17005,4;99,02;6,33
1.05.2020;0,05;17852,9;98,34;4,98
1.06.2020;0,08;18140,6;97,39;1,61
1.07.2020;0,09;18297,7;93,35;0,87
1.08.2020;0,1;18364,1;92,14;0,36
1.09.2020;0,09;18596,4;93,89;1,26
1.10.2020;0,09;18751,1;94,04;0,83
1.11.2020;0,09;18978,9;91,87;1,21
1.12.2020;0,09;19133;89,94;0,81
1.01.2021;0,09;19359,5;90,58;1,18
1.02.2021;0,08;19596,5;90,88;1,22
1.03.2021;0,07;19823,2;93,23;1,16
1.04.2021;0,07;20161,5;91,28;1,71
1.05.2021;0,06;20430,6;90,03;1,33
1.06.2021;0,08;20472,9;92,44;0,21
1.07.2021;0,1;20628,2;92,17;0,76
