Date;DOLLARINDEX
5.01.2013;83,26
6.01.2013;83,14
7.01.2013;81,45
8.01.2013;82,09
9.01.2013;80,22
10.01.2013;80,19
11.01.2013;80,68
12.01.2013;80,04
1.01.2014;81,31
2.01.2014;79,69
3.01.2014;80,1
4.01.2014;79,47
5.01.2014;80,37
6.01.2014;79,78
7.01.2014;81,46
8.01.2014;82,75
9.01.2014;85,94
10.01.2014;86,92
11.01.2014;88,36
12.01.2014;90,27
1.01.2015;94,8
2.01.2015;95,32
3.01.2015;98,36
4.01.2015;94,6
5.01.2015;96,91
6.01.2015;95,49
7.01.2015;97,34
8.01.2015;95,82
9.01.2015;96,35
10.01.2015;96,95
11.01.2015;100,17
12.01.2015;98,63
1.01.2016;99,61
2.01.2016;98,21
3.01.2016;94,59
4.01.2016;93,08
5.01.2016;95,89
6.01.2016;96,14
7.01.2016;95,53
8.01.2016;96,02
9.01.2016;95,46
10.01.2016;98,44
11.01.2016;101,5
12.01.2016;102,21
1.01.2017;99,51
2.01.2017;101,12
3.01.2017;100,35
4.01.2017;99,05
5.01.2017;96,92
6.01.2017;95,63
7.01.2017;92,86
8.01.2017;92,67
9.01.2017;93,08
10.01.2017;94,55
11.01.2017;93,05
12.01.2017;92,12
1.01.2018;89,13
2.01.2018;90,61
3.01.2018;89,97
4.01.2018;91,84
5.01.2018;93,99
6.01.2018;94,64
7.01.2018;94,49
8.01.2018;95,14
9.01.2018;95,13
10.01.2018;97,13
11.01.2018;97,27
12.01.2018;96,17
1.01.2019;95,58
2.01.2019;96,16
3.01.2019;97,28
4.01.2019;97,48
5.01.2019;97,75
6.01.2019;96,13
7.01.2019;98,52
8.01.2019;98,92
9.01.2019;99,38
10.01.2019;97,35
11.01.2019;98,27
12.01.2019;96,39
1.01.2020;97,39
2.01.2020;98,13
3.01.2020;99,05
4.01.2020;99,02
5.01.2020;98,34
6.01.2020;97,39
7.01.2020;93,35
8.01.2020;92,14
9.01.2020;93,89
10.01.2020;94,04
11.01.2020;91,87
12.01.2020;89,94
1.01.2021;90,58
2.01.2021;90,88
3.01.2021;93,23
4.01.2021;91,28
5.01.2021;90,03
6.01.2021;92,44
7.01.2021;92,17
