Date;FEDFUNDS
1.04.2013;0,15
1.05.2013;0,11
1.06.2013;0,09
1.07.2013;0,09
1.08.2013;0,08
1.09.2013;0,08
1.10.2013;0,09
1.11.2013;0,08
1.12.2013;0,09
1.01.2014;0,07
1.02.2014;0,07
1.03.2014;0,08
1.04.2014;0,09
1.05.2014;0,09
1.06.2014;0,1
1.07.2014;0,09
1.08.2014;0,09
1.09.2014;0,09
1.10.2014;0,09
1.11.2014;0,09
1.12.2014;0,12
1.01.2015;0,11
1.02.2015;0,11
1.03.2015;0,11
1.04.2015;0,12
1.05.2015;0,12
1.06.2015;0,13
1.07.2015;0,13
1.08.2015;0,14
1.09.2015;0,14
1.10.2015;0,12
1.11.2015;0,12
1.12.2015;0,24
1.01.2016;0,34
1.02.2016;0,38
1.03.2016;0,36
1.04.2016;0,37
1.05.2016;0,37
1.06.2016;0,38
1.07.2016;0,39
1.08.2016;0,4
1.09.2016;0,4
1.10.2016;0,4
1.11.2016;0,41
1.12.2016;0,54
1.01.2017;0,65
1.02.2017;0,66
1.03.2017;0,79
1.04.2017;0,9
1.05.2017;0,91
1.06.2017;1,04
1.07.2017;1,15
1.08.2017;1,16
1.09.2017;1,15
1.10.2017;1,15
1.11.2017;1,16
1.12.2017;1,3
1.01.2018;1,41
1.02.2018;1,42
1.03.2018;1,51
1.04.2018;1,69
1.05.2018;1,7
1.06.2018;1,82
1.07.2018;1,91
1.08.2018;1,91
1.09.2018;1,95
1.10.2018;2,19
1.11.2018;2,2
1.12.2018;2,27
1.01.2019;2,4
1.02.2019;2,4
1.03.2019;2,41
1.04.2019;2,42
1.05.2019;2,39
1.06.2019;2,38
1.07.2019;2,4
1.08.2019;2,13
1.09.2019;2,04
1.10.2019;1,83
1.11.2019;1,55
1.12.2019;1,55
1.01.2020;1,55
1.02.2020;1,58
1.03.2020;0,65
1.04.2020;0,05
1.05.2020;0,05
1.06.2020;0,08
1.07.2020;0,09
1.08.2020;0,1
1.09.2020;0,09
1.10.2020;0,09
1.11.2020;0,09
1.12.2020;0,09
1.01.2021;0,09
1.02.2021;0,08
1.03.2021;0,07
1.04.2021;0,07
1.05.2021;0,06
1.06.2021;0,08
1.07.2021;0,1
