Date;M2SLCHANGE
1.05.2013;0,32
1.06.2013;0,54
1.07.2013;0,37
1.08.2013;0,54
1.09.2013;0,56
1.10.2013;1,15
1.11.2013;0,08
1.12.2013;0,59
1.01.2014;0,63
1.02.2014;0,59
1.03.2014;0,32
1.04.2014;0,4
1.05.2014;0,57
1.06.2014;0,49
1.07.2014;0,48
1.08.2014;0,21
1.09.2014;0,36
1.10.2014;0,64
1.11.2014;0,35
1.12.2014;0,72
1.01.2015;0,74
1.02.2015;0,99
1.03.2015;-0,02
1.04.2015;0,28
1.05.2015;0,23
1.06.2015;0,34
1.07.2015;0,36
1.08.2015;0,37
1.09.2015;0,51
1.10.2015;0,42
1.11.2015;0,75
1.12.2015;0,58
1.01.2016;1,11
1.02.2016;0,58
1.03.2016;0,4
1.04.2016;0,63
1.05.2016;0,53
1.06.2016;0,47
1.07.2016;0,42
1.08.2016;0,65
1.09.2016;0,46
1.10.2016;0,56
1.11.2016;0,56
1.12.2016;0,34
1.01.2017;0,56
1.02.2017;0,5
1.03.2017;0,46
1.04.2017;0,42
1.05.2017;0,39
1.06.2017;0,16
1.07.2017;0,42
1.08.2017;0,43
1.09.2017;0,35
1.10.2017;0,43
1.11.2017;0,24
1.12.2017;0,43
1.01.2018;0,07
1.02.2018;0,26
1.03.2018;0,41
1.04.2018;0,13
1.05.2018;0,4
1.06.2018;0,43
1.07.2018;0,24
1.08.2018;0,35
1.09.2018;0,25
1.10.2018;0,08
1.11.2018;0,14
1.12.2018;0,85
1.01.2019;0,44
1.02.2019;0,24
1.03.2019;0,31
1.04.2019;0,19
1.05.2019;0,67
1.06.2019;0,81
1.07.2019;0,56
1.08.2019;0,55
1.09.2019;0,65
1.10.2019;0,9
1.11.2019;0,72
1.12.2019;0,47
1.01.2020;0,45
1.02.2020;0,33
1.03.2020;3,41
1.04.2020;6,33
1.05.2020;4,98
1.06.2020;1,61
1.07.2020;0,87
1.08.2020;0,36
1.09.2020;1,26
1.10.2020;0,83
1.11.2020;1,21
1.12.2020;0,81
1.01.2021;1,18
1.02.2021;1,22
1.03.2021;1,16
1.04.2021;1,71
1.05.2021;1,33
1.06.2021;0,21
1.07.2021;0,76
