Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
BTC;1.05.2013;116,9899979;0;1298954594;0,11;0,32;83,26
BTC;1.06.2013;129,3000031;0;1451916165;0,09;0,54;83,14
BTC;1.07.2013;88,05000305;0;1000065296;0,09;0,37;81,45
BTC;1.08.2013;104;0;1195225200;0,08;0,54;82,09
BTC;1.09.2013;138,3399963;0;1610215347;0,08;0,56;80,22
BTC;1.10.2013;132,1799927;0;1557001092;0,09;1,15;80,19
BTC;1.11.2013;206,1799927;0;2460742837;0,08;0,08;80,68
BTC;1.12.2013;955,8499756;0;11531708948;0,09;0,59;80,04
BTC;1.01.2014;771,4000244;22489400;9403308145;0,07;0,63;81,31
BTC;1.02.2014;832,5800171;19668700;10275202812;0,07;0,59;79,69
BTC;1.03.2014;565,6099854;18668100;7049084308;0,08;0,32;80,1
BTC;1.04.2014;478,375;35685800;6023351178;0,09;0,4;79,47
BTC;1.05.2014;457,7600098;12871800;5821425472;0,09;0,57;80,37
BTC;1.06.2014;630,2290039;45259100;8094125581;0,1;0,49;79,78
BTC;1.07.2014;640,8060303;38446300;8311317901;0,09;0,48;81,46
BTC;1.08.2014;594,9160156;18215900;7786796032;0,09;0,21;82,75
BTC;1.09.2014;474,8789978;20432000;6276309535;0,09;0,36;85,94
BTC;1.10.2014;383,6149902;26229400;5115688242;0,09;0,64;86,92
BTC;1.11.2014;325,7489929;16677200;4382113991;0,09;0,35;88,36
BTC;1.12.2014;379,2449951;11763000;5143434464;0,12;0,72;90,27
BTC;1.01.2015;314,2489929;8036550;4297535768;0,11;0,74;94,8
BTC;1.02.2015;226,9720001;29128500;3129637468;0,11;0,99;95,32
BTC;1.03.2015;260,2019958;25213700;3615181538;0,11;-0,02;98,36
BTC;1.04.2015;247,2720032;22877200;3463619267;0,12;0,28;94,6
BTC;1.05.2015;232,0789948;18815300;3275574610;0,12;0,23;96,91
BTC;1.06.2015;222,9259949;26090500;3171172508;0,13;0,34;95,49
BTC;1.07.2015;258,6210022;27029800;3707306173;0,13;0,36;97,34
BTC;1.08.2015;281,6010132;18995000;4069120370;0,14;0,37;95,82
BTC;1.09.2015;228,1210022;20575200;3322548147;0,14;0,51;96,35
BTC;1.10.2015;237,548996;20488800;3486370082;0,12;0,42;96,95
BTC;1.11.2015;325,4309998;37001100;4813287206;0,12;0,75;100,17
BTC;1.12.2015;362,4880066;60452200;5403653927;0,24;0,58;98,63
BTC;1.01.2016;434,3340149;36278900;6529299589;0,34;1,11;99,61
BTC;1.02.2016;373,0559998;51656700;5653747618;0,38;0,58;98,21
BTC;1.03.2016;435,1229858;74895800;6643686404;0,36;0,4;94,59
BTC;1.04.2016;417,9599915;51235700;6429593619;0,37;0,63;93,08
BTC;1.05.2016;451,875;40660100;7001712750;0,37;0,53;95,89
BTC;1.06.2016;536,9199829;86061800;8381321200;0,38;0,47;96,14
BTC;1.07.2016;676,2960205;134431008;10632674990;0,39;0,42;95,53
BTC;1.08.2016;606,2719727;121887000;9572348580;0,4;0,65;96,02
BTC;1.09.2016;572,3029785;76923400;9067854884;0,4;0,46;95,46
BTC;1.10.2016;613,9829712;56357000;9761887632;0,4;0,56;98,44
BTC;1.11.2016;729,7930298;130527000;11642863554;0,41;0,56;101,5
BTC;1.12.2016;756,7739868;80461904;12122431239;0,54;0,34;102,21
BTC;1.01.2017;998,3250122;147775008;16050407461;0,65;0,56;99,51
BTC;1.02.2017;989,0230103;150110000;15962015276;0,66;0,5;101,12
BTC;1.03.2017;1222,5;229056992;19794459608;0,79;0,46;100,35
BTC;1.04.2017;1080,5;289633984;17557597716;0,9;0,42;99,05
BTC;1.05.2017;1421,599976;713624000;23179524919;0,91;0,39;96,92
