Symbol;Date;Price;Volume;Marketcap;FEDFUNDS;M2SLCHANGE;DOLLARINDEX
UNI;1.10.2020;4,25986485;701098957,9;412637282,2;0,09;0,83;94,04
UNI;1.11.2020;2,37930546;189355187;507214061,6;0,09;1,21;91,87
UNI;1.12.2020;3,55541263;1042619601;872773158,2;0,09;0,81;89,94
UNI;1.01.2021;4,7362491;840105754,3;1273682448;0,09;1,18;90,58
UNI;1.02.2021;20,4156725;2217716966;5907917257;0,08;1,22;90,88
UNI;1.03.2021;25,44464301;839066478,4;7931306354;0,07;1,16;93,23
UNI;1.04.2021;28,73943227;751718827,6;15003733935;0,07;1,71;91,28
UNI;1.05.2021;40,19977427;747988502,3;21039928451;0,06;1,33;90,03
UNI;1.06.2021;27,3952343;753430864,1;15498319589;0,08;0,21;92,44
UNI;1.07.2021;17,87039878;364624991,4;10279957542;0,1;0,76;92,17
